iter	MAE	RMSE
0	48.70041242	64.9988882
1	47.42967323	63.44480957
2	46.23861197	61.94432488
3	45.09936651	60.49581594
4	43.99781063	59.09762449
5	42.91475603	57.74864498
6	41.86852842	56.44146551
7	40.87238752	55.1816487
8	39.86178261	53.96516664
9	38.90893792	52.78396421
10	37.99569715	51.64707711
11	37.08872846	50.55483818
12	36.23221315	49.49468599
13	35.40884121	48.47378721
14	34.61338564	47.49225224
15	33.83366263	46.5467785
16	33.07845717	45.64222462
17	32.35100706	44.76300249
18	31.64883209	43.92057364
19	30.96106255	43.11565401
20	30.30283278	42.33231909
21	29.66700963	41.58300121
22	29.05369284	40.86448211
23	28.47601433	40.17598862
24	27.89749042	39.50580893
25	27.34114832	38.8601924
26	26.80765937	38.24178844
27	26.29093213	37.65122389
28	25.78922488	37.08107637
29	25.29932778	36.52900248
30	24.82827267	36.00840782
31	24.38690276	35.50752859
32	23.95401293	35.02533484
33	23.54547424	34.56483369
34	23.13642962	34.11826246
35	22.7436846	33.69853083
36	22.36361472	33.29122747
37	22.01425502	32.90511326
38	21.65390516	32.53016627
39	21.31917939	32.1712409
40	21.00116393	31.82779258
41	20.68129785	31.49411498
42	20.37417716	31.17809644
43	20.08681669	30.87651368
44	19.80350304	30.58933327
45	19.53483538	30.3150667
46	19.27721445	30.05140241
47	19.03827958	29.80047453
48	18.80208404	29.55719075
49	18.56725263	29.32059807
50	18.342258	29.09919501
51	18.11844592	28.8858469
52	17.90824452	28.68059458
53	17.708242	28.48594323
54	17.51520102	28.30063732
55	17.32385854	28.12441121
56	17.1514262	27.95348983
57	16.97427975	27.78843262
58	16.81141544	27.62824276
59	16.65257176	27.47768281
60	16.50370789	27.33196595
61	16.35351186	27.19594
62	16.20595647	27.06489879
63	16.0685252	26.93999631
64	15.94269314	26.81942613
65	15.82154061	26.70538557
66	15.70237313	26.59267875
67	15.58307102	26.48592351
68	15.46846579	26.38679056
69	15.36525247	26.29205431
70	15.26431489	26.19677513
71	15.16287014	26.10875316
72	15.06247732	26.02427543
73	14.97255838	25.94057966
74	14.88390967	25.86339726
75	14.79830885	25.7889038
76	14.71566679	25.71603389
77	14.63739688	25.64401883
78	14.56081103	25.57698818
79	14.48692101	25.51330777
80	14.41348639	25.45382757
81	14.34617842	25.39631386
82	14.28546962	25.3396537
83	14.2225695	25.28565589
84	14.16728456	25.23464392
85	14.11458294	25.1833691
86	14.06150648	25.13541044
87	14.00794957	25.08824654
88	13.95502238	25.0435345
89	13.90205317	25.00059452
90	13.85517306	24.95732497
91	13.81149866	24.91770764
92	13.76871086	24.87846241
93	13.72986817	24.840757
94	13.69035717	24.8050612
95	13.66034404	24.7704442
96	13.62452778	24.73754194
97	13.5913876	24.70601278
98	13.55190146	24.67528631
99	13.50963207	24.64438277
100	13.4759657	24.61495368
101	13.44787604	24.58686574
102	13.41311139	24.55905161
103	13.38753081	24.53324015
104	13.36048115	24.50935906
105	13.33917788	24.48509401
106	13.31701961	24.46120693
107	13.29207948	24.4386931
108	13.26567838	24.4138599
109	13.2397166	24.39168368
110	13.21139058	24.36960508
111	13.19207919	24.34987932
112	13.16725202	24.32805711
113	13.13859948	24.30658065
114	13.11630619	24.28770793
115	13.0986062	24.2685934
116	13.08198981	24.2513674
117	13.06480894	24.23370431
118	13.04502275	24.21443589
119	13.02821131	24.19721286
120	13.01275541	24.17995165
121	12.9967737	24.16408936
122	12.97943386	24.15018942
123	12.96212474	24.1327942
124	12.94438506	24.11883851
125	12.92613855	24.10238764
126	12.91094039	24.08672634
127	12.89694165	24.07370588
128	12.88289093	24.05907218
129	12.87177346	24.04518628
130	12.85606989	24.02994286
131	12.84517014	24.01693649
132	12.82990746	24.00282634
133	12.81803097	23.99065402
134	12.80685778	23.97901669
135	12.79225578	23.96765785
136	12.78405364	23.95702312
137	12.77155297	23.94728409
138	12.75830931	23.93668833
139	12.7466556	23.92748183
140	12.72972925	23.91441351
141	12.7201576	23.90293721
142	12.71145935	23.89205278
143	12.70249357	23.88178789
144	12.69371005	23.87284762
145	12.68515144	23.86436638
146	12.67709769	23.85476016
147	12.67100013	23.84632927
148	12.65721928	23.83473798
149	12.64437023	23.82529154
150	12.63327371	23.81632475
151	12.62616846	23.80849655
152	12.61618242	23.80143402
153	12.61081898	23.79234165
154	12.60482625	23.78386232
155	12.5928472	23.77322822
156	12.5857957	23.76454054
157	12.57986829	23.75744254
158	12.57494704	23.74850699
159	12.5701961	23.74022049
160	12.56123818	23.73129696
161	12.55252977	23.72173211
162	12.54673924	23.71548703
163	12.54323234	23.70681539
164	12.53874819	23.69876224
165	12.52766948	23.68990114
166	12.52122433	23.68226187
167	12.51155201	23.67379663
168	12.50518924	23.66846575
169	12.4973424	23.66322171
170	12.49261127	23.65644135
171	12.48809295	23.64992202
172	12.47933944	23.64173178
173	12.47271663	23.63440502
174	12.46527348	23.62821102
175	12.45918233	23.62088007
176	12.45418555	23.61537091
177	12.44446907	23.60967974
178	12.43932056	23.60326651
179	12.43560183	23.59568814
180	12.43299527	23.58844997
181	12.42766224	23.5821689
182	12.42467358	23.5755488
183	12.42202978	23.56972271
184	12.41891375	23.56328635
185	12.41683194	23.55881107
186	12.41359787	23.5527816
187	12.4067735	23.54626596
188	12.39933622	23.54174013
189	12.39682505	23.53639134
190	12.3940591	23.5308798
191	12.38918749	23.52608684
192	12.38583255	23.52110601
193	12.38368616	23.5152603
194	12.37772008	23.50913272
195	12.37448684	23.50431626
196	12.37183499	23.49850325
197	12.36829153	23.49304911
198	12.36142393	23.48884132
199	12.35763265	23.48351038
200	12.35347039	23.4783588
201	12.35159144	23.47300729
202	12.35005332	23.46777042
203	12.3449218	23.463933
204	12.34131005	23.45899426
205	12.33814517	23.45410775
206	12.33216985	23.45122977
207	12.32920128	23.44672479
208	12.32276396	23.44295447
209	12.31853664	23.43759012
210	12.31684905	23.43352836
211	12.31342253	23.42940798
212	12.31188035	23.42542372
213	12.30870017	23.42148673
214	12.30367109	23.41657655
215	12.30221148	23.41180734
216	12.30148783	23.40770521
217	12.29943944	23.40369089
218	12.29671877	23.39920301
219	12.29468926	23.3947264
220	12.29106032	23.39164532
221	12.28647339	23.38674215
222	12.28390555	23.3830263
223	12.27865077	23.3782441
224	12.27552693	23.37456749
225	12.27452641	23.3705806
226	12.26979169	23.36654278
227	12.2676385	23.36276369
228	12.26494074	23.35898062
229	12.26445395	23.35466767
230	12.26376994	23.35072287
231	12.26207992	23.34729846
232	12.25753281	23.34326126
233	12.25525024	23.33957358
234	12.2526507	23.33678318
235	12.24970696	23.3334114
236	12.24869927	23.33082869
237	12.24447122	23.3280194
238	12.24326017	23.32571526
239	12.2412007	23.32204347
240	12.23883039	23.31905789
241	12.23796656	23.31567724
242	12.23674686	23.3129255
243	12.23440786	23.30956432
244	12.23252161	23.30623052
245	12.23196451	23.30224818
246	12.2285382	23.29873171
247	12.2261132	23.2951623
248	12.22352549	23.29258283
249	12.22106286	23.28966531
250	12.21936204	23.2869769
251	12.21623505	23.28359797
252	12.21321	23.28038439
253	12.21255277	23.27713239
254	12.21162371	23.27336093
255	12.20972461	23.27089413
256	12.2077827	23.26809137
257	12.20622436	23.26549895
258	12.20405771	23.26326862
259	12.20345025	23.25995636
260	12.20254848	23.25730669
261	12.20068375	23.25493173
262	12.1991038	23.25288364
263	12.19651021	23.24988887
264	12.19457156	23.24702865
265	12.19363223	23.24521281
266	12.19274731	23.24215336
267	12.19097835	23.23936297
268	12.18911735	23.23656094
269	12.1873297	23.23376
270	12.18592139	23.23131482
271	12.18490342	23.22811144
272	12.18300154	23.2255366
273	12.18192976	23.22325284
274	12.1804272	23.22089585
275	12.17930753	23.21807424
276	12.17777	23.21584116
277	12.17579983	23.21308714
278	12.17410411	23.21063021
279	12.17278601	23.20796179
280	12.17181256	23.20521726
281	12.17026649	23.20299749
282	12.16902155	23.20122206
283	12.16771706	23.19865248
284	12.1664407	23.19635327
285	12.16497549	23.19382675
286	12.16437237	23.19226467
287	12.16373184	23.18913613
288	12.16204628	23.18683867
289	12.16073783	23.18431506
290	12.15949422	23.18128087
291	12.15811512	23.17909839
292	12.15703984	23.17681485
293	12.15545732	23.17437345
294	12.15422973	23.17256459
295	12.15214372	23.17028314
296	12.15089228	23.1674345
297	12.15022451	23.16527112
298	12.14907652	23.16287618
299	12.14885138	23.15956655
300	12.14773048	23.15745935
301	12.14709708	23.15500004
302	12.1462713	23.15265597
303	12.14386764	23.15036429
304	12.14270925	23.14840109
305	12.14157639	23.1461011
306	12.14058376	23.14365711
307	12.13989106	23.14164366
308	12.13826936	23.13974321
309	12.13676335	23.13766021
310	12.13572854	23.13562622
311	12.13432108	23.13384675
312	12.13384155	23.1319963
313	12.13255778	23.13030531
314	12.13167397	23.12839425
315	12.12987651	23.12644669
316	12.12917138	23.12426938
317	12.12826441	23.12276574
318	12.12722172	23.12136184
319	12.12642687	23.11886275
320	12.12515061	23.11701903
321	12.12427379	23.11556329
322	12.12324618	23.11383419
323	12.12194634	23.11235397
324	12.12176334	23.10954245
325	12.12119086	23.10761307
