iter	Passed	Remaining
0	2131	2129312
1	3995	1993745
2	5507	1830282
3	6703	1669281
4	8046	1601185
5	9263	1534630
6	10497	1489143
7	11653	1445095
8	12842	1414111
9	13960	1382058
10	15238	1370066
11	16487	1357461
12	17625	1338204
13	18888	1330261
14	20162	1323992
15	21376	1314643
16	22567	1304912
17	23720	1294084
18	25321	1307371
19	26481	1297604
20	27640	1288561
21	28795	1280082
22	30127	1279751
23	31455	1279192
24	32710	1275713
25	33835	1267535
26	34958	1259811
27	36232	1257777
28	37402	1252340
29	38592	1247810
30	39858	1245891
31	41023	1240973
32	42385	1242025
33	43623	1239406
34	44854	1236691
35	46057	1233310
36	47302	1231134
37	48442	1226356
38	49814	1227473
39	50963	1223129
40	52145	1219702
41	53709	1225082
42	54945	1222865
43	56086	1218611
44	57351	1217118
45	58692	1217239
46	59733	1211201
47	60979	1209418
48	62130	1205832
49	63345	1203557
50	64562	1201364
51	66090	1204887
52	67285	1202245
53	68581	1201446
54	69895	1200931
55	71281	1201596
56	72571	1200612
57	73677	1196625
58	74690	1191248
59	75983	1190404
60	77170	1187926
61	78413	1186313
62	79755	1186206
63	81253	1188336
64	82304	1183922
65	83566	1182595
66	84618	1178339
67	86051	1179418
68	87430	1179676
69	88950	1181769
70	89990	1177482
71	91256	1176192
72	92590	1175775
73	93690	1172400
74	95034	1172090
75	96215	1169779
76	97394	1167464
77	98520	1164557
78	99688	1162192
79	100890	1160236
80	102376	1161533
81	103914	1163331
82	105281	1163167
83	106754	1164137
84	108311	1165946
85	109663	1165488
86	111148	1166418
87	112539	1166321
88	113927	1166159
89	115290	1165716
90	116571	1164436
91	117823	1162866
92	119050	1161061
93	120261	1159114
94	121580	1158212
95	122851	1156851
96	123983	1154197
97	125225	1152586
98	126355	1149963
99	127590	1148312
100	128650	1145113
101	129737	1142200
102	130844	1139492
103	132027	1137464
104	133080	1134354
105	134179	1131664
106	135193	1128293
107	136403	1126592
108	138058	1128531
109	139130	1125693
110	140298	1123654
111	141607	1122746
112	143215	1124176
113	144809	1125449
114	145993	1123512
115	147273	1122327
116	148745	1122583
117	149827	1119894
118	151556	1122027
119	152688	1119715
120	154193	1120132
121	155386	1118272
122	156734	1117529
123	158252	1117975
124	159478	1116352
125	160889	1116012
126	162034	1113825
127	163035	1110679
128	164230	1108877
129	165442	1107192
130	167250	1109469
131	168490	1107954
132	170250	1109829
133	171192	1106365
134	172114	1102805
135	173105	1099729
136	174217	1097442
137	175310	1095058
138	176323	1092189
139	177567	1090770
140	179358	1092687
141	180510	1090691
142	181791	1089478
143	182897	1087226
144	184262	1086515
145	185211	1083363
146	186291	1080997
147	187490	1079337
148	189117	1080129
149	190449	1079212
150	191933	1079148
151	192931	1076352
152	193888	1073357
153	194848	1070399
154	196017	1068612
155	197414	1068062
156	198550	1066103
157	199679	1064117
158	200483	1060420
159	201667	1058756
160	202983	1057785
161	204587	1058296
162	205700	1056263
163	206513	1052715
164	207323	1049182
165	208804	1049052
166	210116	1048066
167	211785	1048844
168	212880	1046765
169	214061	1045125
170	215166	1043115
171	216354	1041520
172	217776	1041044
173	219536	1042166
174	220900	1041390
175	222348	1040994
176	223323	1038393
177	224405	1036301
178	225630	1034874
179	226631	1032431
180	227395	1028934
181	228925	1028904
182	229755	1025738
183	230958	1024249
184	231882	1021537
185	232850	1019034
186	234014	1017399
187	235582	1017516
188	236701	1015689
189	237890	1014165
190	238875	1011780
191	240009	1010039
192	241285	1008898
193	242427	1007198
194	244003	1007296
195	244970	1004877
196	246002	1002739
197	247245	1001467
198	248201	999044
199	249880	999521
200	251297	998938
